modeltype,r2,rmse,mae,adjusted_r2,fom,pearson
white_no_error,0.9871929059512441,0.03974277515727151,0.02714646370388232,0.9865902191724791,0.5339800464902075,0.9935865274309313
white_no_error,0.9744708620492487,0.05865443121003719,0.031957642695165094,0.9732694908515663,0.607564096248669,0.9874668428550817
white_no_error,0.9910392357496727,0.03409720793744942,0.023792210503643444,0.9906175527261278,0.4654433234122983,0.9955204125454847
white_no_error,0.9204770563536502,0.10102967981413084,0.04288934986364722,0.9167348001820572,0.9660175673444082,0.9604754287971796
white_no_error,0.9945879154203467,0.027959723418306485,0.02225052553852041,0.9943332290871866,0.4540832674704903,0.997459571820349
white_no_error,0.9857061625027795,0.04347602367525321,0.032487153522401946,0.9850335113264398,0.5761174644707059,0.99298806613875
white_no_error,0.9661302778073906,0.05723119713122622,0.03623204697254829,0.9645364085277384,0.6297837776160244,0.9830235718410945
white_no_error,0.8965437203088833,0.11538447023823999,0.048009534016388404,0.8916751894998896,0.7462269903438435,0.9500950837106452
white_no_error,0.9804397203203887,0.049835734693531974,0.02895085662265534,0.97951923657076,0.6250098748923286,0.9904529083036888
white_no_error,0.9803262682201468,0.050324098108823136,0.031654517464348435,0.9794004455481538,0.5877516136006095,0.9906384452542438
white_mean_error,0.8361350919662134,0.14215949421540633,0.10704541676125359,0.8284238021763881,0.40491766070870633,0.9154397189956827
white_mean_error,0.8286539451142763,0.15195668385412306,0.10891346483612904,0.8205906013549481,0.40956730635705446,0.9104964150333534
white_mean_error,0.8588637760440782,0.13532110617074097,0.10544256837090182,0.8522220713873289,0.3931250575466226,0.9271968773914275
white_mean_error,0.8277350862787538,0.14869664448396244,0.12100023196350175,0.8196285021036364,0.47183653838773415,0.9113112186142427
white_mean_error,0.8340802116467538,0.1548102371659804,0.1143041616763405,0.8262722216066011,0.44045947417585535,0.9165935613190928
white_mean_error,0.7688796746976423,0.17482134871911983,0.12811092715656341,0.7580034240951784,0.48536504211094456,0.8772774240195707
white_mean_error,0.8229736139159334,0.1308416507933712,0.09721407207615276,0.8146429604531538,0.3592560490638428,0.9074700391276831
white_mean_error,0.8295140770439574,0.1481198264244709,0.11647908046043819,0.8214912100813201,0.436029707702284,0.9110481489639962
white_mean_error,0.7951050898675582,0.1612942628662583,0.11182308969765677,0.785462976449561,0.4261534609061082,0.8927993310370226
white_mean_error,0.8275189570650654,0.14900584753065868,0.10935456568646511,0.8194022021034214,0.40505518295362536,0.9119922580519626
white_minmax_error,0.9865718088693995,0.04069505571750526,0.028042903206556242,0.9859398939926655,0.46407682792121113,0.9932805803970745
white_minmax_error,0.9705382268156375,0.0630103937417409,0.0362729013321941,0.969151790430491,0.5628555029979938,0.9858412833991841
white_minmax_error,0.9882661967392891,0.03901806190069887,0.028110423020490147,0.9877140177623144,0.46313899755576055,0.9941212269293959
white_minmax_error,0.9657030325338252,0.06634842432998708,0.040719429436442876,0.9640890575942405,0.627013018618029,0.982847087994702
white_minmax_error,0.9926917024153242,0.03249067207726831,0.025129709845301863,0.9923477825289866,0.38999665809328327,0.9965145193792879
white_minmax_error,0.9855057680679207,0.043779722013083285,0.03369952055450439,0.9848236865652346,0.5585175065153314,0.9928614041132813
white_minmax_error,0.973153022729721,0.05095358090356199,0.03639426952177583,0.9718896355640608,0.567564860497118,0.9865949907562357
white_minmax_error,0.8961988920656425,0.11557660321174204,0.050326768736098,0.8913141340452022,0.587503614209097,0.9495670017204209
white_minmax_error,0.9785131473398371,0.05223237071145564,0.03265155087712067,0.9775020013323,0.5335195979335047,0.9894667874507759
white_minmax_error,0.9781850332863964,0.05299195043904183,0.0345031255230245,0.9771584466175209,0.5444746131011821,0.9895061317815309
fixed_alpha,0.87783218194938,0.12274711657895188,0.08852233452468387,0.8720831081587626,1.097002081248939,0.9393133521340223
fixed_alpha,0.8673429737254748,0.13370507176035978,0.08731819174918327,0.8611002901360854,1.0166039482606632,0.9314711971586003
fixed_alpha,0.8676698057557806,0.13103151647292435,0.09586764696136177,0.8614425024972291,1.8203627154533901,0.9319274865743734
fixed_alpha,0.7268398131068372,0.1872455276411242,0.13365637543802064,0.7139852160765707,2.133780377259838,0.8635227101707399
fixed_alpha,0.7963185284236972,0.17152457245310423,0.12446276827122411,0.7867335179965771,2.4187444649803505,0.8957212627436537
fixed_alpha,0.7914304978178572,0.1660736759537631,0.12037879085504263,0.7816154624210505,2.1969611192445706,0.8896797496830635
fixed_alpha,0.7720980999818408,0.1484571045739783,0.10309776938486412,0.7613733046868685,1.6025597005203547,0.8805334444395045
fixed_alpha,0.8219470369466007,0.15137129785923115,0.11016970215257746,0.8135680739793818,1.9365901302074722,0.9076735160524406
fixed_alpha,0.8011804437926684,0.1588849951596845,0.09201584140292071,0.7918242293829116,1.069569900370483,0.900043750698584
fixed_alpha,0.8755612672000517,0.1265640656160809,0.09604176176460973,0.8697053268329953,1.7654320933764698,0.937182160090137
