Mass	Q	chi1	chi2	theta1	theta2	phi2-phi	Mismatch	Error
37.5	1.8571428571428572	0.5	0.5	0.26137424301544415	2.4312495174704365	2.3511962828836266	-2.83225861286888	0.628061467780483
37.5	2.4738148017364106	0.2	0.8	0.2589673411504325	0.27742873866578893	2.289433058706587	-2.8182422970139878	0.27265920485264344
37.5	1.8571428571428572	0.5	0.2	3.132022380475667	1.7554386413490188	-1.7747817725857848e-9	-3.02666773405324	0.46531614997397575
37.5	1.	0.8	0.2	3.127510351283769	1.7763465303840542	-5.590292866870427e-9	-3.038640914266299	0.33260876359450703
37.5	1.8571428571428572	0.5	0.8	2.633390332507633	1.7398019412289938	2.356024222561225	-2.792479551974612	0.3989668057510037
37.5	2.4738148017364106	0.5	0.5	2.6221513528447415	0.7006652064900658	2.91745755903109	-2.7594205065233606	0.2950327479345473
37.5	1.8571428571428572	0.5	0.5	2.618632401912736	1.4004788004529134	1.567038845639494	-2.937351820799483	0.38332719982688274
37.5	1.	0.8	0.8	1.575505520963679	2.441252484462972	2.3604941050492108	-2.6952441728576737	0.3502027983049907
37.5	1.	0.8	0.5	2.8883880587161186	1.05956501598254	0.16175229814671915	-2.796654615912082	0.28469980113062626
37.5	1.8571428571428572	0.5	0.8	2.5960060613779596	0.7488637152148933	0.38958341343094866	-2.837545321302304	0.5489488351874744
37.5	1.	0.2	0.8	2.8955742113173906	1.7455718924138723	3.1415926422482268	-2.7724062479816323	0.31789687534529654
37.5	1.	0.2	0.8	0.5472607585874968	2.0887271354444596	0.7768867618216606	-2.739795495847359	0.3556214624681478
37.5	1.	0.8	0.2	1.8406190435690908	1.0492836488613557	1.5539719849526876	-2.7261161705937043	0.29956809842862453
37.5	1.	0.5	0.5	1.5707963267948966	1.5707963267948966	4.996183089593028	-2.8334846505126614	0.6536053903202265
37.5	1.	0.8	0.2	1.3021983482993065	2.086870950977783	1.556225986349825	-2.791645553832827	0.5280241681158381
37.5	1.	0.2	0.8	2.5994734060206435	1.0520987907049362	0.7616348964599697	-2.7561682198978525	0.4328573805975152
37.5	1.	0.2	0.8	0.2464084684823374	1.3959966288444734	3.08645992553748	-2.7285510807243094	0.49068983712871744
37.5	1.8571428571428572	0.5	0.8	0.5376280228302855	2.4058117898824003	0.19162771594089925	-2.963160625616285	0.5138462405806186
37.5	1.	0.8	0.5	0.2520603453554434	2.0825529746688964	0.10675266002177082	-2.6576297880670166	0.42789930133351955
37.5	1.	0.8	0.8	1.56863137172105	0.6963831401656587	2.360955511931389	-2.3977113073535947	0.46683156030136685
37.5	1.8571428571428572	0.5	0.5	0.5231183855248978	1.740837424051452	1.567546558454223	-2.845912040838728	0.5202385007759337
37.5	2.4738148017364106	0.5	0.5	0.5220711349182234	2.428596902650037	2.946134700702408	-2.7275036949209985	0.45140716262404257
37.5	1.8571428571428572	0.5	0.8	0.5120736824252965	1.3976554282575895	2.359321441826838	-2.6085280709255168	0.44293932394727503
37.5	1.	0.8	0.2	0.01408229629620455	1.365246134485522	3.5234527498369134e-9	-2.8285447259751195	1.032376234152584
37.5	1.8571428571428572	0.5	0.2	0.009570275572798569	1.3861540143790239	-2.65706998408667e-9	-2.889295302925779	0.7343800817155244
37.5	3.1633294308785294	0.5	0.8	2.8679884550270347	1.391216454887508	3.1118542450686624	-2.754912822694197	0.48572344722949207
37.5	2.4738148017364106	0.4109321636310151	0.7730025066257066	2.835376595810385	3.1121375207750526	0.06282749579877779	-2.889082500003359	0.3423636678238713
37.5	2.4738148017364106	0.5	0.8	2.614152671538951	2.077788633293497	2.3594368885577124	-2.626056307173457	0.3884276924858751
37.5	2.4738148017364106	0.5	0.2	2.614760621996694	2.9866005056144744	0.2249762726998998	-2.798569903121444	0.45564192228812406
37.5	1.8571428571428572	0.5	0.5	2.609961308262454	2.153377086867365	0.5941319310653066	-2.8073557309832267	0.42821487313003054
37.5	2.4738148017364106	0.5	0.2	2.365366387253092	2.329128574954559	1.6769512935629038	-2.620671781874383	0.4950563031140256
37.5	1.	0.8	0.8	3.1342920738312587	1.3978780745138721	0.44168110589597864	-2.5695608075596765	0.2612467273631191
37.5	2.4738148017364106	0.5	0.2	2.1051394398617504	1.9978715016143165	1.719040571182803	-2.5504062032766166	0.40214108581094915
37.5	2.4738148017364106	0.5	0.5	1.8305524939930196	2.794474817624987	3.1138967198853966	-2.5194218497099277	0.353887178433717
37.5	2.4738148017364106	0.5	0.2	1.8446736550477052	1.6806932743381782	1.7647825028759307	-2.5032397175583214	0.3646479178309928
37.5	1.	0.20325682531753606	0.8009232687695231	1.5938379492926984	1.7431118586533012	0.10075913100924803	-2.8071603446967157	0.37075747763332756
37.5	2.4738148017364106	0.5	0.2	1.5707963267948966	1.5707963267948966	4.46349657733935	-2.4898848971044627	0.2666209614445463
37.5	1.	0.20393275319963403	0.800125038201273	1.5649981649864337	1.393864557694424	0.03820949760986917	-2.7511535418738475	0.475582591855488
37.5	2.4738148017364106	0.5	0.2	1.2979696366042017	1.4453140922072893	1.7694190439672106	-2.5334898080404273	0.2842541817132949
37.5	2.4738148017364106	0.5	0.5	1.3110460781713467	0.34701394578063405	3.1284659291250123	-2.477910344701916	0.2382965377479516
37.5	2.4738148017364106	0.5	0.2	1.0370416594507366	1.1351904985296635	1.7244136805165573	-2.5893407863961557	0.2899036998339082
37.5	1.	0.8	0.8	0.006605712798060742	1.743719481511139	3.8596250734564995e-9	-2.4726432138318346	0.38698890358236654
37.5	2.4738148017364106	0.5	0.2	0.7764372561254169	0.809343998276962	1.6802432999216557	-2.6393744600244338	0.29720752060557815
37.5	1.8571428571428572	0.5	0.5	0.5353978515870097	0.9802831673134539	0.6149568273705178	-2.864829332119871	0.7371777591880777
37.5	2.4738148017364106	0.5	0.2	0.5268761311183727	0.1526025388580771	0.1162679676481908	-2.6658456948698794	0.43567142876037146
37.5	2.4738148017364106	0.5	0.8	0.5277962565832276	1.0630190362106635	2.360891950685052	-2.3977762805724234	0.22759350147185942
37.5	2.4738148017364106	0.4127946159753128	0.7645044420369003	0.3096441188102763	0.01447285901528111	0.07506041564247003	-2.8421049663066054	0.6414886058597561
37.5	3.1633294308785294	0.5	0.8	0.2737862763303259	1.7500633703768815	3.1415926193291397	-2.544924388103132	0.2613209610933192
37.5	1.	0.5802071552092811	0.761533301577768	2.970401545446528	2.820883843499048	0.443409424432916	-3.1101835310505552	0.31751214084367296
37.5	4.	0.4852338939029454	0.44735779138323567	2.866534290998926	2.730335119716212	3.48419230487765	-2.682018380606404	0.3659614752775244
37.5	3.1633294308785294	0.5	0.8	2.879160630476684	2.0870670661207655	0.12947395291488853	-2.6945340969871516	0.4889939610903531
37.5	2.4738148017364106	0.5016918796477725	0.8010232940009006	2.6179573488451355	2.7908417399322083	0.05395588069766727	-2.7024184226966534	0.5128875555760316
37.5	1.	0.8	0.5	2.3552808664249265	2.797165947398665	0.2639233603720339	-2.89427507592257	0.4172378867942313
37.5	2.4738148017364106	0.5	0.8	2.3602012813274373	2.443461476797363	0.7346553701985279	-2.6351070424153424	0.5057829483948639
37.5	1.8571428571428572	0.8	0.5	2.0978795558091856	2.0581145486232897	3.1429555681865238	-2.4463079226443165	0.35025473914324096
37.5	1.	0.5	0.8	2.10703673513402	2.0905687943105247	0.8063160583663468	-2.8119004511387238	0.4400305987834405
37.5	4.	0.5	0.8	2.0831002740793534	0.05485120111731634	0.02675063649401381	-2.357594015424787	0.28609312912916157
37.5	4.	0.5	0.5	1.8274958657658968	1.733195664431628	3.141596625716601	-2.3888233918338164	0.21177486661675451
37.5	3.1633294308785294	0.5	0.8	1.5662861469760072	2.8281814122966686	0.9248542421486619	-2.537293730363786	0.2624085934535358
37.5	3.1633294308785294	0.5	0.2	1.5707963267948966	1.5707963267948966	6.096768278540375	-2.5199446324682038	0.22381215731970378
37.5	3.1633294308785294	0.5	0.8	1.5763637960737118	0.29120101203550025	0.8631592458453164	-2.306069124549026	0.22945196477100335
37.5	4.	0.5	0.5	1.3140963897531732	1.408396768387557	3.141594418152975	-2.3354502424047023	0.22199084771834451
37.5	4.	0.5	0.8	1.0584922521203706	3.0867618488171535	-8.127647305623024e-8	-2.443780051381458	0.20185778791082465
37.5	1.	0.5	0.8	1.0417969437118524	1.0465260700968897	0.8058302837559456	-2.5935986285469284	0.4755556513425418
37.5	1.8571428571428572	0.8	0.5	1.0437132877103217	1.0834770797728621	3.141599672608165	-2.3741249108999622	0.26971077699877366
37.5	2.4738148017364106	0.5	0.8	0.7844490726364635	0.6851981272460902	0.7346514428905739	-2.577248916527646	0.39532266284920103
37.5	1.	0.5619839560515719	0.7542665906512871	0.9309712760116094	0.3806927393202957	0.08108403220872976	-2.5818582217339383	0.6828431338986655
37.5	2.4738148017364106	0.5021300503719409	0.7985975460548348	0.5242464119011137	0.3474718604869302	0.010234403404092573	-2.737566371510841	0.6064022348381818
37.5	3.1633294308785294	0.5	0.8	0.26321378521086986	1.053062860842474	0.17575825086799515	-2.5173343384422466	0.3668906652356745
37.5	4.	0.4852669882268909	0.4460212469039964	0.2748716721938871	0.40944822626277194	3.485182094266947	-2.563717968448115	0.23727383161519094
37.5	1.	0.5698185049072176	0.7685048257053534	0.15570399422435832	0.31156467870602544	0.3728098419961488	-2.6726843969865763	1.2896449023896734
37.5	1.	0.8	0.8	2.868800753114677	2.75101305237817	2.5082545624212944	-2.9654012611919085	0.5412836575373328
37.5	1.8571428571428572	0.8	0.5	2.895883448709442	2.28190658004764	1.6635926521478794	-2.926404496983232	0.6824395999878226
37.5	1.	0.8	0.8	3.122700396521999	2.432948683573738	7.995697306196255e-9	-2.899938491247026	0.36075570975848215
37.5	2.4738148017364106	0.8	0.5	2.6267438270507757	0.9726958842368787	2.4407031659379594	-2.539742918185524	0.5624857772027275
37.5	1.8571428571428572	0.8	0.5	2.624712529117275	1.706123755387044	0.8210919845405424	-2.636525266225413	0.5712982337140761
37.5	1.8571428571428572	0.8	0.5	2.3511596904140686	2.110409818980138	1.5394311261107354	-2.5441686242399477	0.38063792760383136
37.5	1.8571428571428572	0.8	0.5	2.1092771229661293	2.8396459997801125	2.349892737739611	-2.4662720073193287	0.3045067488410439
37.5	1.8571428571428572	0.8	0.8	2.3618714197422332	1.03590770604249	0.7868841268641344	-2.4506750455347457	0.38490060594556313
37.5	1.8571428571428572	0.8	0.5	1.837248553234769	2.754878667552088	1.7238365103221573	-2.3648535766294927	0.2893715482349138
37.5	1.8571428571428572	0.8	0.8	1.572448163944007	3.1408324056183803	0.010324038713727652	-2.3161892924474423	0.3420418688176012
37.5	1.8571428571428572	0.8	0.8	1.5732742088392186	2.0928269591785753	1.5890191574203534	-2.207293020655146	0.29201684700362196
37.5	1.	0.8	0.8	1.5707963267948966	1.5707963267948966	5.272464286611272	-2.5549361580467784	0.3928391007847168
37.5	1.8571428571428572	0.8	0.8	1.569599786849331	1.0436597979163988	1.588339755314573	-2.2908473859165683	0.3143487238626972
37.5	1.8571428571428572	0.8	0.8	1.56914448967417	0.0007602075090105322	0.	-2.260598261389057	0.18973441318626413
37.5	1.8571428571428572	0.8	0.5	1.3046882360170848	0.3818267562815009	1.7261884734348243	-2.305420827151895	0.1922227968316919
37.5	1.8571428571428572	0.8	0.8	0.780727606639598	2.1028493218042765	0.7944144828393266	-2.681252004362226	0.4863044244456784
37.5	1.8571428571428572	0.8	0.5	1.0323202653696075	0.3018714732999508	2.3501705301175897	-2.2562426689075554	0.37175359707077077
37.5	1.8571428571428572	0.8	0.5	0.7916306923565609	1.0256954782107284	1.5440755462404625	-2.396368955022747	0.4769325293818876
37.5	1.8571428571428572	0.8	0.5	0.518335227895951	1.43145785939766	0.8322363019006069	-2.6047522948789466	0.5958266290016411
37.5	2.4738148017364106	0.8	0.5	0.5156760384770718	2.1640750215937516	2.4491941482299966	-2.236372773704359	0.24002472742044545
37.5	1.	0.7766128582096602	0.8336693713241377	0.02724633926095775	0.7123784373983866	2.036095772986105	-2.4658835099358885	0.804746588507777
37.5	1.8571428571428572	0.8	0.5	0.2508902158031121	0.8503745850100881	1.6946654519900601	-2.4427743029998896	0.8440536126576821
37.5	1.	0.8	0.8	0.36005933476715263	0.31162977894929933	2.446791868892517	-2.6246185090577407	0.9911438687165874
37.5	2.4738148017364106	0.8	0.8	2.878991253095286	2.2124693007366156	3.141590776401842	-2.6304203013634666	0.24742020843059717
37.5	3.1633294308785294	0.8197693686279928	0.7624074731774726	2.8613234817344164	0.6719884137441947	3.141591593727254	-2.5989007476974786	0.30921004969300014
37.5	1.8571428571428572	0.8	0.8	2.864591148247864	2.473924480614892	0.04564446314590484	-2.6890275425386134	0.4109537553115101
37.5	3.1633294308785294	0.8	0.8	2.627408393285379	0.9923749426102169	2.4121627604808573	-2.4088244472250264	0.3522903423480775
37.5	2.4738148017364106	0.8	0.5	2.618865960121802	1.419112880577482	3.530146205173876e-9	-2.533141069130436	0.42934563640454954
37.5	2.4738148017364106	0.8	0.2	2.3712479237543227	3.1203403142470103	2.686129748202732	-2.3945883658355114	0.34533575975634323
37.5	1.8571428571428572	0.8	0.8	2.110558163460293	2.7675496898456915	0.7385555391203941	-2.4573197853743016	0.31965803831402534
37.5	2.4738148017364106	0.8	0.2	2.091832025420918	2.8058820639599586	3.1415924608745693	-2.2603132208641	0.2561943078512178
37.5	2.4738148017364106	0.800486518181151	0.7983851649307864	1.8309301582023219	2.790688046342998	3.1426913394808444	-2.1785009667760775	0.22910550874815314
37.5	2.4738148017364106	0.8	0.2	1.8271118969819278	2.202293181444222	2.057945194973772	-2.2464948118884225	0.21549376605070886
37.5	2.4738148017364106	0.8	0.8	1.8373629910838845	0.7148177930252048	1.5057720989894738	-2.03234935946772	0.25815190796020115
37.5	2.4738148017364106	0.8	0.2	1.5707963267948966	1.5707963267948966	4.341692134198515	-2.0980346947181103	0.22389991166022444
37.5	2.4738148017364106	0.8	0.8	1.3048968275401016	2.420786089831924	1.5086225485940084	-2.1849504063976943	0.2555813352751484
37.5	2.4738148017364106	0.8	0.2	1.3153319097344882	0.9140912395990651	2.07482943374242	-2.105064876598911	0.19904520864810135
37.5	2.4738148017364106	0.8	0.8	1.3110471039419564	0.34699610635149175	3.133202652310444	-2.127751016405223	0.17937674761134415
37.5	2.4738148017364106	0.8	0.2	1.0497606518538236	0.3357098449828392	3.1416123568579737	-2.224962941807072	0.19918571463688536
37.5	1.8571428571428572	0.8050014206396593	0.8013450242992324	1.0391965244841566	0.3406126713932925	0.7794206434388649	-2.246902864833469	0.2522880236422985
37.5	2.4738148017364106	0.8	0.2	0.7702468216916168	0.06316194635912631	4.380800112035927	-2.2585436547271525	0.1943653115669811
37.5	2.4738148017364106	0.8	0.5	0.5227266934679841	1.7224797730150736	-2.2259232303137057e-8	-2.6315677558014583	0.2379989272446586
37.5	3.1633294308785294	0.8	0.8	0.5150848686266716	2.143929150650834	2.421476794688898	-2.271383424978148	0.2815264424446595
37.5	1.8571428571428572	0.8	0.8	0.27682484222017123	0.6679241558698251	1.3835003490566568e-8	-2.240826909444957	1.1735067275164828
37.5	3.1633294308785294	0.8166967927335032	0.7250091613168682	0.27737831338255386	2.4835140961536695	3.141592652829962	-2.331709597917774	0.3473471835538562
37.5	2.4738148017364106	0.8	0.8	0.2626014004948736	0.9291233528524738	3.141592095894421	-2.295265994255627	0.40500164826499496
37.5	3.1633294308785294	0.8	0.8	3.099803561741819	2.1168481020544223	-5.4369537523891585e-9	-2.573915380602186	0.2846922727639071
37.5	3.1633294308785294	0.8	0.5	2.8871229588663123	2.689174531430288	1.6086033434760718	-2.5704172048455045	0.3958445877683445
37.5	3.1633294308785294	0.8	0.8	2.863485222953766	1.750092572379851	-1.4019730067560196e-9	-2.422859229627294	0.7230041837339044
37.5	3.1633294308785294	0.8	0.5	2.613754731367654	2.620534268586674	2.1562699140048256	-2.380675514229558	0.47498467849962667
37.5	3.1633294308785294	0.8	0.8	2.6189425715147747	1.3130761858311304	0.2569642418206675	-2.2708504293792555	0.3798719291238121
37.5	3.1633294308785294	0.8	0.5	2.3458961520207824	2.493969994287984	2.3295199088980483	-2.2272573761763943	0.39993163353703826
37.5	2.4738148017364106	0.8	0.8	2.3341677242155474	1.8388736414172233	0.0406883422913158	-2.3108297969325324	0.3762819641706503
37.5	3.1633294308785294	0.8	0.2	2.1069156829972795	2.450003596945576	3.064369199940579	-2.1737214047939037	0.26221347856583854
37.5	3.1633294308785294	0.7998495611624533	0.799773485850897	2.0940139053566886	0.3486353532820869	0.	-2.1193780335073145	0.20202585749567603
37.5	3.1633294308785294	0.8	0.2	1.8389078966906856	1.9591966164613548	3.1416040367467217	-2.1478840974274633	0.2075992449100368
37.5	2.4738148017364106	0.8	0.8	1.8172718241084374	1.0131669084412902	0.38115955142192076	-2.106522244052384	0.24877647652021764
37.5	3.1633294308785294	0.8	0.2	1.5707963267948966	1.5707963267949085	3.551841815778366	-2.142869641632128	0.2311830628281269
37.5	2.4738148017364106	0.8	0.8	1.3233041569607071	2.1355529803248836	0.36230188288080817	-2.3031728049591895	0.2464549424292763
37.5	3.1633294308785294	0.8	0.2	1.302684761970422	1.1823958887434547	3.1418233128659647	-2.1407038948042243	0.1729104072219229
37.5	3.1633294308785294	0.8	0.8	1.04758422575786	2.794819796738264	0.	-2.355606021974099	0.2089492609839802
37.5	3.1633294308785294	0.8	0.2	1.0347081675247685	0.6899042115302657	3.1421829735928246	-2.127130550968649	0.1967747347213007
37.5	2.4738148017364106	0.8	0.8	0.8072081440609515	1.3037044267141737	6.0969818537508885e-9	-2.287187171920064	0.22699567443664093
37.5	3.1633294308785294	0.8	0.5	0.7959232585958809	0.6433119612598521	2.3402249043380765	-2.0339036869261644	0.2094341479750986
37.5	3.1633294308785294	0.8	0.8	0.5226625749324242	1.8284519912557928	0.25756447275075417	-2.1335025365773066	0.16983618934460742
37.5	3.1633294308785294	0.8	0.5	0.5299385297259562	0.48588357838110974	2.2719134055544172	-2.285566971064297	0.4051302036062185
37.5	3.1633294308785294	0.8	0.8	0.27858328001651483	1.3901700883053107	0.10947728075582877	-2.1442380688629155	0.3309816433821454
37.5	3.1633294308785294	0.8	0.5	0.2545722950058727	0.45146985115952754	1.6120958748693872	-2.4512813714129007	0.5821072512105907
37.5	3.1633294308785294	0.8	0.8	0.04267109886430612	1.024308483146786	0.2459025450855359	-2.2648472060547515	0.8899929487102778
37.5	4.	0.8	0.8	2.8751044543868014	2.9711951212448686	-0.03339128273827536	-2.2212602225273304	0.5562788617660446
37.5	4.	0.8183274489886561	0.7316020665753914	2.8261335758777455	1.7322686499519437	0.04972965872424627	-2.251699808613162	0.36064858123863625
37.5	4.	0.8	0.8	2.6134426649217013	2.696518381210345	2.2136267880889338	-2.1454437322289217	0.49089085746873906
37.5	4.	0.8	0.8	2.5804953916889897	1.5110191522503575	0.019317916636342962	-2.116033245391323	0.3240471641307941
37.5	4.	0.8	0.5	2.3653585284833847	2.8810349346658928	3.1415929514506464	-1.926595896710893	0.47520264517125815
37.5	4.	0.8	0.8	2.3279650385409325	0.875098459440229	-6.901317999438026e-8	-1.9934624559965712	0.3194661241286116
